kickName,grass,dist
classic,with,4.3
classic,with,4.7
classic,with,4.45
classic,with,4.55
classic,with,4.2
classic,with,4.35
classic,with,4.15
classic,with,4.5
classic,with,4.2
classic,against,1.7
classic,against,2.3
classic,against,2.2
classic,against,2.3
classic,against,2.35
classic,against,2.6
classic,against,2.15
classic,against,2.3
classic,against,2.6
classic,against,2.4
classic,against,2.3
small,with,2.5
small,with,2.3
small,with,2.3
small,with,2.3
small,with,2.1
small,with,2.4
small,with,2.5
small,with,2.55
small,with,2.25
small,against,1.15
small,against,1.3
small,against,1.2
small,against,1.35
small,against,1.35
small,against,1.2
small,against,1.2
small,against,1.4
small,against,1.4
